Board Size,Fraction,End Fraction,Num Iter
20.000000,0.010000,0.000000,2.000000
20.000000,0.020000,0.000000,2.000000
20.000000,0.030000,0.007500,7.000000
20.000000,0.040000,0.000000,6.000000
20.000000,0.050000,0.000000,5.000000
20.000000,0.060000,0.000000,6.000000
20.000000,0.070000,0.000000,3.000000
20.000000,0.080000,0.000000,49.000000
20.000000,0.090000,0.007500,8.000000
20.000000,0.100000,0.017500,9.000000
20.000000,0.110000,0.020000,10.000000
20.000000,0.120000,0.000000,17.000000
20.000000,0.130000,0.000000,20.000000
20.000000,0.140000,0.007500,55.000000
20.000000,0.150000,0.007500,14.000000
20.000000,0.160000,0.035000,12.000000
20.000000,0.170000,0.000000,32.000000
20.000000,0.180000,0.032500,21.000000
20.000000,0.190000,0.000000,42.000000
20.000000,0.200000,0.017500,13.000000
20.000000,0.210000,0.010000,25.000000
20.000000,0.220000,0.032500,200.000000
20.000000,0.230000,0.010000,34.000000
20.000000,0.240000,0.017500,40.000000
20.000000,0.250000,0.000000,50.000000
20.000000,0.260000,0.042500,42.000000
20.000000,0.270000,0.025000,32.000000
20.000000,0.280000,0.007500,35.000000
20.000000,0.290000,0.037500,18.000000
20.000000,0.300000,0.000000,24.000000
20.000000,0.310000,0.017500,26.000000
20.000000,0.320000,0.000000,27.000000
20.000000,0.330000,0.017500,36.000000
20.000000,0.340000,0.050000,48.000000
20.000000,0.350000,0.045000,29.000000
20.000000,0.360000,0.030000,60.000000
20.000000,0.370000,0.010000,30.000000
20.000000,0.380000,0.022500,38.000000
20.000000,0.390000,0.010000,47.000000
20.000000,0.400000,0.035000,34.000000
20.000000,0.410000,0.027500,30.000000
20.000000,0.420000,0.000000,28.000000
20.000000,0.430000,0.042500,30.000000
20.000000,0.440000,0.007500,41.000000
20.000000,0.450000,0.017500,32.000000
20.000000,0.460000,0.010000,62.000000
20.000000,0.470000,0.000000,32.000000
20.000000,0.480000,0.000000,45.000000
20.000000,0.490000,0.027500,41.000000
20.000000,0.500000,0.017500,36.000000
20.000000,0.510000,0.015000,48.000000
20.000000,0.520000,0.007500,25.000000
20.000000,0.530000,0.035000,59.000000
20.000000,0.540000,0.017500,34.000000
20.000000,0.550000,0.020000,15.000000
20.000000,0.560000,0.015000,43.000000
20.000000,0.570000,0.007500,41.000000
20.000000,0.580000,0.025000,21.000000
20.000000,0.590000,0.015000,27.000000
20.000000,0.600000,0.032500,19.000000
20.000000,0.610000,0.010000,31.000000
20.000000,0.620000,0.007500,54.000000
20.000000,0.630000,0.010000,31.000000
20.000000,0.640000,0.015000,21.000000
20.000000,0.650000,0.000000,14.000000
20.000000,0.660000,0.017500,20.000000
20.000000,0.670000,0.007500,20.000000
20.000000,0.680000,0.000000,17.000000
20.000000,0.690000,0.032500,47.000000
20.000000,0.700000,0.027500,40.000000
20.000000,0.710000,0.015000,11.000000
20.000000,0.720000,0.042500,43.000000
20.000000,0.730000,0.007500,25.000000
20.000000,0.740000,0.025000,17.000000
20.000000,0.750000,0.007500,11.000000
20.000000,0.760000,0.010000,6.000000
20.000000,0.770000,0.007500,9.000000
20.000000,0.780000,0.010000,7.000000
20.000000,0.790000,0.015000,8.000000
20.000000,0.800000,0.000000,4.000000
20.000000,0.810000,0.000000,18.000000
20.000000,0.820000,0.000000,5.000000
20.000000,0.830000,0.017500,17.000000
20.000000,0.840000,0.000000,7.000000
20.000000,0.850000,0.000000,4.000000
20.000000,0.860000,0.000000,4.000000
20.000000,0.870000,0.000000,4.000000
20.000000,0.880000,0.000000,4.000000
20.000000,0.890000,0.000000,4.000000
20.000000,0.900000,0.000000,4.000000
20.000000,0.910000,0.000000,5.000000
20.000000,0.920000,0.007500,3.000000
20.000000,0.930000,0.000000,3.000000
20.000000,0.940000,0.000000,3.000000
20.000000,0.950000,0.000000,3.000000
20.000000,0.960000,0.000000,3.000000
20.000000,0.970000,0.000000,3.000000
20.000000,0.980000,0.000000,3.000000
20.000000,0.990000,0.000000,3.000000
30.000000,0.010000,0.000000,2.000000
30.000000,0.020000,0.000000,3.000000
30.000000,0.030000,0.000000,3.000000
30.000000,0.040000,0.004444,6.000000
30.000000,0.050000,0.000000,5.000000
30.000000,0.060000,0.003333,10.000000
30.000000,0.070000,0.004444,8.000000
30.000000,0.080000,0.000000,6.000000
30.000000,0.090000,0.006667,20.000000
30.000000,0.100000,0.000000,21.000000
30.000000,0.110000,0.000000,12.000000
30.000000,0.120000,0.011111,18.000000
30.000000,0.130000,0.003333,44.000000
30.000000,0.140000,0.012222,11.000000
30.000000,0.150000,0.006667,43.000000
30.000000,0.160000,0.003333,26.000000
30.000000,0.170000,0.007778,34.000000
30.000000,0.180000,0.003333,44.000000
30.000000,0.190000,0.006667,54.000000
30.000000,0.200000,0.021111,58.000000
30.000000,0.210000,0.003333,42.000000
30.000000,0.220000,0.017778,34.000000
30.000000,0.230000,0.041111,59.000000
30.000000,0.240000,0.017778,39.000000
30.000000,0.250000,0.028889,39.000000
30.000000,0.260000,0.017778,63.000000
30.000000,0.270000,0.013333,42.000000
30.000000,0.280000,0.022222,50.000000
30.000000,0.290000,0.004444,42.000000
30.000000,0.300000,0.016667,48.000000
30.000000,0.310000,0.000000,61.000000
30.000000,0.320000,0.011111,38.000000
30.000000,0.330000,0.012222,86.000000
30.000000,0.340000,0.018889,25.000000
30.000000,0.350000,0.012222,38.000000
30.000000,0.360000,0.013333,48.000000
30.000000,0.370000,0.015556,56.000000
30.000000,0.380000,0.007778,67.000000
30.000000,0.390000,0.011111,58.000000
30.000000,0.400000,0.020000,41.000000
