Board Size,Fraction,End Fraction,Num Iter
20.000000,0.010000,0.000000,2.000000
20.000000,0.020000,0.000000,3.000000
20.000000,0.030000,0.000000,2.000000
20.000000,0.040000,0.010000,4.000000
20.000000,0.050000,0.007500,6.000000
20.000000,0.060000,0.000000,4.000000
20.000000,0.070000,0.022500,42.000000
20.000000,0.080000,0.000000,10.000000
20.000000,0.090000,0.000000,5.000000
20.000000,0.100000,0.017500,28.000000
20.000000,0.110000,0.000000,10.000000
20.000000,0.120000,0.022500,48.000000
20.000000,0.130000,0.022500,200.000000
20.000000,0.140000,0.007500,9.000000
20.000000,0.150000,0.000000,18.000000
20.000000,0.160000,0.020000,37.000000
20.000000,0.170000,0.000000,13.000000
20.000000,0.180000,0.020000,116.000000
20.000000,0.190000,0.000000,77.000000
20.000000,0.200000,0.007500,17.000000
20.000000,0.210000,0.025000,45.000000
20.000000,0.220000,0.000000,46.000000
20.000000,0.230000,0.007500,40.000000
20.000000,0.240000,0.027500,56.000000
20.000000,0.250000,0.010000,55.000000
20.000000,0.260000,0.007500,41.000000
20.000000,0.270000,0.017500,45.000000
20.000000,0.280000,0.032500,33.000000
20.000000,0.290000,0.007500,61.000000
20.000000,0.300000,0.010000,34.000000
20.000000,0.310000,0.027500,46.000000
20.000000,0.320000,0.020000,36.000000
20.000000,0.330000,0.007500,84.000000
20.000000,0.340000,0.022500,58.000000
20.000000,0.350000,0.000000,60.000000
20.000000,0.360000,0.000000,32.000000
20.000000,0.370000,0.017500,31.000000
20.000000,0.380000,0.007500,73.000000
20.000000,0.390000,0.000000,60.000000
20.000000,0.400000,0.027500,48.000000
20.000000,0.410000,0.007500,42.000000
20.000000,0.420000,0.010000,49.000000
20.000000,0.430000,0.022500,39.000000
20.000000,0.440000,0.010000,64.000000
20.000000,0.450000,0.040000,44.000000
20.000000,0.460000,0.007500,78.000000
20.000000,0.470000,0.027500,47.000000
20.000000,0.480000,0.007500,61.000000
20.000000,0.490000,0.007500,64.000000
20.000000,0.500000,0.007500,68.000000
20.000000,0.510000,0.007500,36.000000
20.000000,0.520000,0.010000,70.000000
20.000000,0.530000,0.017500,17.000000
20.000000,0.540000,0.007500,19.000000
20.000000,0.550000,0.012500,57.000000
20.000000,0.560000,0.000000,35.000000
20.000000,0.570000,0.010000,21.000000
20.000000,0.580000,0.030000,26.000000
20.000000,0.590000,0.000000,15.000000
20.000000,0.600000,0.010000,38.000000
20.000000,0.610000,0.007500,9.000000
20.000000,0.620000,0.000000,21.000000
20.000000,0.630000,0.007500,19.000000
20.000000,0.640000,0.007500,33.000000
20.000000,0.650000,0.000000,37.000000
20.000000,0.660000,0.010000,23.000000
20.000000,0.670000,0.015000,23.000000
20.000000,0.680000,0.010000,15.000000
20.000000,0.690000,0.007500,17.000000
20.000000,0.700000,0.000000,9.000000
20.000000,0.710000,0.007500,10.000000
20.000000,0.720000,0.007500,9.000000
20.000000,0.730000,0.000000,14.000000
20.000000,0.740000,0.007500,17.000000
20.000000,0.750000,0.007500,6.000000
20.000000,0.760000,0.000000,3.000000
20.000000,0.770000,0.000000,17.000000
20.000000,0.780000,0.007500,21.000000
20.000000,0.790000,0.000000,4.000000
20.000000,0.800000,0.000000,4.000000
20.000000,0.810000,0.000000,5.000000
20.000000,0.820000,0.000000,8.000000
20.000000,0.830000,0.000000,2.000000
20.000000,0.840000,0.000000,3.000000
20.000000,0.850000,0.000000,3.000000
20.000000,0.860000,0.000000,3.000000
20.000000,0.870000,0.000000,2.000000
20.000000,0.880000,0.000000,3.000000
20.000000,0.890000,0.000000,2.000000
20.000000,0.900000,0.000000,2.000000
20.000000,0.910000,0.000000,3.000000
20.000000,0.920000,0.000000,2.000000
20.000000,0.930000,0.000000,3.000000
20.000000,0.940000,0.000000,2.000000
20.000000,0.950000,0.000000,2.000000
20.000000,0.960000,0.000000,2.000000
20.000000,0.970000,0.000000,2.000000
20.000000,0.980000,0.000000,2.000000
20.000000,0.990000,0.000000,2.000000
30.000000,0.010000,0.000000,4.000000
30.000000,0.020000,0.000000,3.000000
30.000000,0.030000,0.000000,3.000000
30.000000,0.040000,0.000000,11.000000
30.000000,0.050000,0.003333,4.000000
30.000000,0.060000,0.000000,4.000000
30.000000,0.070000,0.004444,10.000000
30.000000,0.080000,0.000000,9.000000
30.000000,0.090000,0.007778,46.000000
30.000000,0.100000,0.006667,18.000000
30.000000,0.110000,0.008889,16.000000
30.000000,0.120000,0.011111,22.000000
30.000000,0.130000,0.015556,14.000000
30.000000,0.140000,0.007778,29.000000
30.000000,0.150000,0.003333,30.000000
30.000000,0.160000,0.006667,51.000000
30.000000,0.170000,0.013333,30.000000
30.000000,0.180000,0.012222,51.000000
30.000000,0.190000,0.016667,91.000000
30.000000,0.200000,0.016667,48.000000
30.000000,0.210000,0.011111,87.000000
30.000000,0.220000,0.006667,42.000000
30.000000,0.230000,0.014444,43.000000
30.000000,0.240000,0.015556,44.000000
30.000000,0.250000,0.015556,92.000000
30.000000,0.260000,0.011111,42.000000
30.000000,0.270000,0.020000,51.000000
30.000000,0.280000,0.015556,114.000000
30.000000,0.290000,0.010000,51.000000
30.000000,0.300000,0.006667,42.000000
30.000000,0.310000,0.011111,42.000000
30.000000,0.320000,0.011111,59.000000
30.000000,0.330000,0.007778,70.000000
30.000000,0.340000,0.006667,49.000000
30.000000,0.350000,0.023333,89.000000
30.000000,0.360000,0.004444,57.000000
30.000000,0.370000,0.006667,45.000000
30.000000,0.380000,0.018889,67.000000
30.000000,0.390000,0.022222,66.000000
30.000000,0.400000,0.026667,49.000000
30.000000,0.410000,0.006667,52.000000
30.000000,0.420000,0.014444,67.000000
30.000000,0.430000,0.011111,48.000000
30.000000,0.440000,0.006667,73.000000
30.000000,0.450000,0.006667,58.000000
30.000000,0.460000,0.012222,49.000000
30.000000,0.470000,0.026667,61.000000
30.000000,0.480000,0.010000,106.000000
30.000000,0.490000,0.023333,47.000000
30.000000,0.500000,0.008889,38.000000
30.000000,0.510000,0.015556,59.000000
30.000000,0.520000,0.015556,35.000000
30.000000,0.530000,0.026667,41.000000
30.000000,0.540000,0.010000,71.000000
30.000000,0.550000,0.014444,37.000000
30.000000,0.560000,0.018889,56.000000
30.000000,0.570000,0.023333,31.000000
30.000000,0.580000,0.017778,85.000000
30.000000,0.590000,0.016667,13.000000
30.000000,0.600000,0.006667,35.000000
30.000000,0.610000,0.015556,53.000000
30.000000,0.620000,0.008889,19.000000
30.000000,0.630000,0.004444,33.000000
30.000000,0.640000,0.015556,33.000000
30.000000,0.650000,0.022222,35.000000
30.000000,0.660000,0.011111,26.000000
30.000000,0.670000,0.011111,31.000000
30.000000,0.680000,0.011111,34.000000
30.000000,0.690000,0.008889,29.000000
30.000000,0.700000,0.003333,41.000000
30.000000,0.710000,0.015556,38.000000
30.000000,0.720000,0.003333,9.000000
30.000000,0.730000,0.003333,10.000000
30.000000,0.740000,0.000000,18.000000
30.000000,0.750000,0.003333,19.000000
30.000000,0.760000,0.000000,12.000000
30.000000,0.770000,0.004444,4.000000
30.000000,0.780000,0.000000,8.000000
30.000000,0.790000,0.000000,9.000000
30.000000,0.800000,0.000000,6.000000
30.000000,0.810000,0.000000,7.000000
30.000000,0.820000,0.000000,8.000000
30.000000,0.830000,0.000000,3.000000
30.000000,0.840000,0.000000,6.000000
30.000000,0.850000,0.003333,3.000000
30.000000,0.860000,0.000000,3.000000
30.000000,0.870000,0.000000,4.000000
30.000000,0.880000,0.004444,7.000000
30.000000,0.890000,0.000000,4.000000
